epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1845.97,1.50086,1.27006,0.91068,0.92488,0.87454,0.94293,0.6009,1.0539,0.6564,0.84237,0.00333294,0.00333294,0.00333294
2,3501.03,1.30072,0.68789,0.85915,0.97708,0.91622,0.97061,0.68023,0.97911,0.51603,0.82558,0.00653428,0.00653428,0.00653428
3,5107.71,1.27362,0.61029,0.85315,0.99027,0.9815,0.99395,0.72764,0.9609,0.47674,0.82183,0.00960362,0.00960362,0.00960362
4,6700.15,1.18696,0.55551,0.84188,0.99336,0.9894,0.99482,0.7534,0.90804,0.43351,0.81073,0.009406,0.009406,0.009406
5,8291.97,1.10913,0.51721,0.83235,0.99537,0.98936,0.99477,0.76596,0.87143,0.41328,0.80758,0.009208,0.009208,0.009208
6,9885.54,1.05933,0.49558,0.82642,0.99548,0.98935,0.99472,0.76892,0.85495,0.39849,0.80365,0.00901,0.00901,0.00901
7,1689.77,1.02952,0.483,0.82393,0.99561,0.99034,0.99475,0.77198,0.84022,0.38985,0.80163,0.008812,0.008812,0.008812
8,3378,1.00988,0.47264,0.82114,0.99592,0.98936,0.99477,0.77752,0.83397,0.3865,0.80085,0.008614,0.008614,0.008614
9,5060.06,0.99509,0.46651,0.81988,0.99542,0.99121,0.99479,0.77997,0.82139,0.3789,0.7987,0.008416,0.008416,0.008416
10,6740.78,0.98494,0.46222,0.81799,0.9961,0.99049,0.99481,0.78535,0.81601,0.37542,0.79764,0.008218,0.008218,0.008218
11,8415.5,0.97812,0.45784,0.81675,0.99652,0.99068,0.99486,0.78734,0.81286,0.37336,0.79732,0.00802,0.00802,0.00802
12,10086.8,0.96653,0.45323,0.81545,0.99593,0.99295,0.99485,0.78858,0.80769,0.36919,0.79609,0.007822,0.007822,0.007822
13,11763.7,0.96426,0.45243,0.81597,0.9972,0.99163,0.99487,0.7894,0.80668,0.36829,0.79605,0.007624,0.007624,0.007624
14,13436.4,0.9557,0.44803,0.81481,0.99639,0.99243,0.99487,0.79155,0.80171,0.36488,0.79571,0.007426,0.007426,0.007426
15,15111.7,0.95016,0.44523,0.81399,0.99712,0.99129,0.99487,0.79252,0.79992,0.36424,0.79527,0.007228,0.007228,0.007228
16,16787.8,0.94167,0.44132,0.81257,0.99709,0.99325,0.99493,0.79347,0.79368,0.36095,0.79421,0.00703,0.00703,0.00703
17,18471.9,0.93709,0.4394,0.81259,0.99718,0.99298,0.99495,0.79421,0.79079,0.35902,0.79347,0.006832,0.006832,0.006832
18,20145.2,0.93153,0.43692,0.81146,0.9966,0.993,0.99491,0.79584,0.78913,0.35769,0.79307,0.006634,0.006634,0.006634
19,21817.3,0.92911,0.43543,0.81247,0.99726,0.99283,0.9949,0.79636,0.78776,0.35679,0.79349,0.006436,0.006436,0.006436
20,23491.2,0.92339,0.43246,0.81112,0.99725,0.99342,0.99489,0.79671,0.78604,0.35569,0.79296,0.006238,0.006238,0.006238
21,25161.2,0.91563,0.43065,0.80944,0.99713,0.99362,0.99491,0.79737,0.78391,0.355,0.79243,0.00604,0.00604,0.00604
22,26836.8,0.91269,0.42925,0.80964,0.99733,0.99377,0.9949,0.79788,0.78223,0.35403,0.79203,0.005842,0.005842,0.005842
23,28512.5,0.91309,0.42772,0.81029,0.997,0.99366,0.99491,0.79839,0.7811,0.35342,0.7918,0.005644,0.005644,0.005644
24,30188.6,0.91104,0.42684,0.8098,0.99713,0.99348,0.99495,0.79874,0.78017,0.3529,0.79177,0.005446,0.005446,0.005446
25,31865.8,0.90646,0.42543,0.80859,0.99748,0.99352,0.99496,0.79915,0.77962,0.3525,0.79164,0.005248,0.005248,0.005248
26,33540.9,0.89996,0.4219,0.80844,0.99675,0.99335,0.99495,0.79935,0.77853,0.35195,0.79147,0.00505,0.00505,0.00505
27,35218,0.89796,0.42144,0.80736,0.9974,0.99366,0.99496,0.79986,0.77775,0.3514,0.79125,0.004852,0.004852,0.004852
